Insumo;Fecha;Consumo
APOSITO OCULAR ADULTO ESTERIL;2022-01-01;0.0
APOSITO OCULAR ADULTO ESTERIL;2022-02-01;-15970.0
APOSITO OCULAR ADULTO ESTERIL;2022-03-01;-37130.0
APOSITO OCULAR ADULTO ESTERIL;2022-04-01;-73090.0
APOSITO OCULAR ADULTO ESTERIL;2022-05-01;90400.0
APOSITO OCULAR ADULTO ESTERIL;2022-06-01;-4550.0
APOSITO OCULAR ADULTO ESTERIL;2022-07-01;-9200.0
APOSITO OCULAR ADULTO ESTERIL;2022-08-01;-20500.0
APOSITO OCULAR ADULTO ESTERIL;2022-09-01;-39400.0
APOSITO OCULAR ADULTO ESTERIL;2022-10-01;45650.0
APOSITO OCULAR ADULTO ESTERIL;2022-11-01;-15850.0
APOSITO OCULAR ADULTO ESTERIL;2022-12-01;11675.0
APOSITO OCULAR ADULTO ESTERIL;2023-01-01;4050.0
APOSITO OCULAR ADULTO ESTERIL;2023-02-01;56125.0
APOSITO OCULAR ADULTO ESTERIL;2023-03-01;0.0
APOSITO OCULAR ADULTO ESTERIL;2023-04-01;-2800.0
APOSITO OCULAR ADULTO ESTERIL;2023-05-01;-33325.0
APOSITO OCULAR ADULTO ESTERIL;2023-06-01;52750.0
APOSITO OCULAR ADULTO ESTERIL;2023-07-01;-89200.0
APOSITO OCULAR ADULTO ESTERIL;2023-08-01;-20025.0
APOSITO OCULAR ADULTO ESTERIL;2023-09-01;-12900.0
APOSITO OCULAR ADULTO ESTERIL;2023-10-01;12900.0
APOSITO OCULAR ADULTO ESTERIL;2023-11-01;0.0
APOSITO OCULAR ADULTO ESTERIL;2023-12-01;6450.0
APOSITO OCULAR ADULTO ESTERIL;2024-01-01;-12900.0
APOSITO OCULAR ADULTO ESTERIL;2024-02-01;0.0
APOSITO OCULAR ADULTO ESTERIL;2024-03-01;-1350.0
APOSITO OCULAR ADULTO ESTERIL;2024-04-01;-13200.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-01-01;0.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-02-01;-15.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-03-01;-21.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-04-01;-45.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-05-01;518.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-06-01;-20.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-07-01;87.0
BANDAS ELÁSTICAS PARA FORTALECIMIENTO                     (SE SOLICITA -SUPER FUERTE);2022-08-01;-402.0
