_id,CODIGO,DESCRIPCIÓN,TIPO DE COMPRA,PRECIO UNITARIO B/.,CANTIDAD EXISTENCIA ALMACÉN CDPA SEPTIEMBRE,CANTIDAD EXISTENCIA ALMACÉN CDDI SEPTIEMBRE,CANTIDAD EXISTENCIA ALMACÉN CDCH SEPTIEMBRE,TOTAL DE EXISTENCIAS  DISPONIBLES    SEPTIEMBRE,MONTO DE EXISTENCIAS EN B/.
1,209003502,CONECTOR PARA BOMBA DE INFUSION CON FILTRO DE AIRE,TRAMITE USUAL,4.4900000000000002131628207280300557613372802734375,61660,18800,11600,92060,413349.400000000023283064365386962890625
2,209003700,AGUJA PARA NEUMOPERITONEO  (TIPO VERESS) PARA LAPARASCOPIA (Se solicita 120mm),TRAMITE USUAL,10.16499999999999914734871708787977695465087890625,0,0,0,0,0
3,209007502,DETERGENTE ANIONICO EN POLVO PRESENTACION: PAQ. DE 4 LIBRAS,TRAMITE USUAL,35.49846000000000145746525959111750125885009765625,7302,360,342,8004,284129.6738400000031106173992156982421875
4,209008100,"AGUJA HIPODÉRMICA,  (SE SOLICITA CALIBRE 18G X 1  1/2 PULGADAS, 38MM DE LONGITUD)",TRAMITE USUAL,0.008859999999999999820143870010724640451371669769287109375,0,0,0,0,0
5,209008400,"AGUJA HIPODÉRMICA,   (SE SOLICITA CALIBRE 21G, 1 PULGADAS, 25MM DE LONGITUD.) ",TRAMITE USUAL,0.01499999999999999944488848768742172978818416595458984375,440000,28600,31600,500200,7503
6,209008500,"AGUJA HIPODÉRMICA,  SE SOLICITA CALIBRE 21G X 1 1/2 PULGADAS, 38MM DE LONGITUD",TRAMITE USUAL,0.00821999999999999987621013275429504574276506900787353515625,0,500,0,500,4.11000000000000031974423109204508364200592041015625
7,209008600,"AGUJA HIPODÉRMICA, SE SOLICITA CALIBRE 22G X 1 PULGADAS, 25MM DE LONGITUD",TRAMITE USUAL,0.02004999999999999837907438404727145098149776458740234375,0,0,0,0,0
8,209008700,"AGUJA HIPODÉRMICA    (SE SOLICITA CALIBRE 22G X 1 1/2 PULGADAS, 38MM DE LONGITUD)",TRAMITE USUAL,0.025000000000000001387778780781445675529539585113525390625,155000,146100,29400,330500,8262.5
9,209008800,"AGUJA HIPODÉRMICA, (SE SOLICITA CALIBRE 23G X 1 PULGADAS 25MM DE LONGITUD)",TRAMITE USUAL,0.00821999999999999987621013275429504574276506900787353515625,0,0,0,0,0
10,209008900,"AGUJA HIPODÉRMICA,   SE SOLICITA CALIBRE 24G X 1 PULGADAS 25MM DE LONGITUD",TRAMITE USUAL,0.01499999999999999944488848768742172978818416595458984375,0,0,0,0,0
11,209009000,"AGUJA HIPODÉRMICA DESECHABLE (Se solicita calibre 25G de 1"" de longitud) ",TRAMITE USUAL,0.0200000000000000004163336342344337026588618755340576171875,0,0,0,0,0
12,209009002,"AGUJA HIPODÉRMICA    (SE SOLICITA CALIBRE 25G X 1 1/2 PULGADAS, 38MM DE LONGITUD)",TRAMITE USUAL,0.0200000000000000004163336342344337026588618755340576171875,1239000,53100,38300,1330400,26608
13,209009301,"PAPEL SATINADO PARA CAMILLA Y MESA DE EXAMEN. (SE SOLICITA TAMAÑO 18"" ANCHO X 300 PIES LARGO)",TRAMITE USUAL,3.8300000000000000710542735760100185871124267578125,0,0,0,0,0
14,209011222,BANDEJA PARA CATETERIZACION VENOSA CENTRAL TRIPLE LUMEN.  SE SOLICITA CATETER DE POLIURETANO,TRAMITE USUAL,60.5,0,0,0,0,0
