CODIGO,DESCRIPCI‡N,PRECIO UNITARIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA JULIO, CANTIDAD EXISTENCIA ALMACêN CDDI JULIO,CANTIDAD EXISTENCIA ALMACêN CDCH JULIO,TOTAL DE EXISTENCIAS  DISPONIBLES    JULIO,MONTO DE EXISTENCIAS EN B/.,,
209003502,CONECTOR PARA BOMBA DE INFUSION CON FILTRO DE AIRE.,4.49 ,"382,120 ","8,000 ","6,400 ","396,520","1,780,374.80",,
209003700,AGUJA PARA NEUMOPERITONEO  (TIPO VERESS) PARA LAPARASCOPIA (Se solicita 120mm),10.17 ,816 ,0 ,0 ,816,"8,294.64",,
209007502,DETERGENTE ANIONICO EN POLVO PRESENTACION: PAQ. DE 4 LIBRAS,35.50 ,"18,876 ",697 ,234 ,"19,807","703,118.00",,
209008100,"AGUJA HIPODêRMICA,  (SE SOLICITA CALIBRE 18G X 1  1/2 PULGADAS, 38MM DE LONGITUD)",0.01 ,0 ,0 ,0 ,0,0.00,,
209008400,"AGUJA HIPODêRMICA,   (SE SOLICITA CALIBRE 21G, 1 PULGADAS, 25MM DE LONGITUD.) ",0.02 ,0 ,0 ,"4,200 ","4,200",63.00,,
209008500,"AGUJA HIPODêRMICA,  SE SOLICITA CALIBRE 21G X 1 1/2 PULGADAS, 38MM DE LONGITUD",0.01 ,0 ,0 ,"1,600 ","1,600",13.15,,
209008600,"AGUJA HIPODêRMICA, SE SOLICITA CALIBRE 22G X 1 PULGADAS, 25MM DE LONGITUD",0.02 ,0 ,0 ,0 ,0,0.00,,
209008700,"AGUJA HIPODêRMICA    (SE SOLICITA CALIBRE 22G X 1 1/2 PULGADAS, 38MM DE LONGITUD)",0.03 ,"889,000 ","399,300 ","5,400 ","1,293,700","32,342.50",,
209008800,"AGUJA HIPODêRMICA, (SE SOLICITA CALIBRE 23G X 1 PULGADAS 25MM DE LONGITUD)",0.01 ,0 ,0 ,0 ,0,0.00,,
209008900,"AGUJA HIPODêRMICA,   SE SOLICITA CALIBRE 24G X 1 PULGADAS 25MM DE LONGITUD",0.02 ,0 ,"1,000 ",0 ,"1,000",15.00,,
209009000,"AGUJA HIPODêRMICA DESECHABLE (Se solicita calibre 25G de 1"" de longitud) ",0.02 ,0 ,0 ,0 ,0,0.00,,
209009002,"AGUJA HIPODêRMICA    (SE SOLICITA CALIBRE 25G X 1 1/2 PULGADAS, 38MM DE LONGITUD)",0.02 ,"374,700 ","43,400 ","43,000 ","461,100","9,222.00",,
209009301,"PAPEL SATINADO PARA CAMILLA Y MESA DE EXAMEN.    (SE SOLICITA TAMA•O 18"" ANCHO X 300 PIES LARGO)",3.42 ,0 ,0 ,0 ,0,0.00,,
209011222,BANDEJA PARA CATETERIZACION VENOSA CENTRAL TRIPLE LUMEN.  SE SOLICITA CATETER DE POLIURETANO,60.50 ,0 ,0 ,0 ,0,0.00,,
